Product,Category,SubCategory,Price,Total_Qty,Total_Revenue,Num_Orders
20in Monitor,Electronics,Monitors,109.99,4129,454148.70999999996,4098
27in 4K Gaming Monitor,Electronics,Monitors,389.99,6244,2435097.56,6225
27in FHD Monitor,Electronics,Monitors,149.99,7550,1132424.5,7498
34in Ultrawide Monitor,Electronics,Monitors,379.99,6199,2355558.0100000002,6174
AA Batteries (4-pack),Accessories,Batteries,3.84,27635,106118.4,20542
AAA Batteries (4-pack),Accessories,Batteries,2.99,31017,92740.83,20593
Apple Airpods Headphones,Audio,Headphones,150.0,15661,2349150.0,15525
Bose SoundSport Headphones,Audio,Headphones,99.99,13457,1345565.43,13298
Flatscreen TV,Electronics,TVs,300.0,4819,1445700.0,4794
Google Phone,Electronics,Phones,600.0,5532,3319200.0,5522
LG Dryer,Home Appliances,Laundry,600.0,646,387600.0,646
LG Washing Machine,Home Appliances,Laundry,600.0,666,399600.0,666
Lightning Charging Cable,Accessories,Cables,14.95,23217,347094.14999999997,21604
Macbook Pro Laptop,Electronics,Laptops,1700.0,4728,8037600.0,4721
ThinkPad Laptop,Electronics,Laptops,999.99,4130,4129958.7,4126
USB-C Charging Cable,Accessories,Cables,11.95,23975,286501.25,21855
Vareebadd Phone,Electronics,Phones,400.0,2068,827200.0,2065
Wired Headphones,Audio,Headphones,11.99,20557,246478.43,18847
iPhone,Electronics,Phones,700.0,6849,4794300.0,6840
