SubCategory_A,SubCategory_B,Co_Occurrence,Support,Lift
Cables,Phones,2427,0.013601,0.6933
Headphones,Phones,1697,0.00951,0.443
Cables,Headphones,674,0.003777,0.0585
Batteries,Headphones,432,0.002421,0.0396
Batteries,Cables,356,0.001995,0.0357
Headphones,Monitors,248,0.00139,0.0389
Cables,Monitors,246,0.001379,0.0422
Batteries,Monitors,209,0.001171,0.0379
Batteries,Phones,128,0.000717,0.0386
Headphones,Laptops,97,0.000544,0.0413
Cables,Laptops,82,0.00046,0.0382
Batteries,Laptops,79,0.000443,0.0388
Monitors,Phones,59,0.000331,0.0305
Laptops,Monitors,52,0.000291,0.0438
Batteries,TVs,42,0.000235,0.0381
Cables,TVs,39,0.000219,0.0335
Headphones,TVs,37,0.000207,0.029
Laptops,Phones,29,0.000163,0.0406
Monitors,TVs,21,0.000118,0.0326
Phones,TVs,17,9.5e-05,0.0439
Batteries,Laundry,13,7.3e-05,0.0431
Headphones,Laundry,11,6.2e-05,0.0315
Laptops,TVs,11,6.2e-05,0.0463
Laundry,Monitors,10,5.6e-05,0.0568
Cables,Laundry,10,5.6e-05,0.0314
Laundry,Phones,5,2.8e-05,0.0472
Laptops,Laundry,3,1.7e-05,0.0461
Laundry,TVs,1,6e-06,0.0284
