Order ID,Order_Date,City,Month,Hour,DayOfWeek,DayType,Total_Items,Unique_Products,Order_Value,Order_Segment,Categories,Is_Multi_Product
141234,2019-01-22 21:25:00,Boston,1,21,Tuesday,Weekday,1,1,700.0,High,Electronics,0
141235,2019-01-28 14:15:00,Portland,1,14,Monday,Weekday,1,1,14.95,Medium,Accessories,0
141236,2019-01-17 13:33:00,San Francisco,1,13,Thursday,Weekday,2,1,23.98,Medium,Audio,0
141237,2019-01-05 20:33:00,Los Angeles,1,20,Saturday,Weekend,1,1,149.99,Medium,Electronics,0
141238,2019-01-25 11:59:00,Austin,1,11,Friday,Weekday,1,1,11.99,Low,Audio,0
141239,2019-01-29 20:22:00,San Francisco,1,20,Tuesday,Weekday,1,1,2.99,Low,Accessories,0
141240,2019-01-26 12:16:00,Los Angeles,1,12,Saturday,Weekend,1,1,389.99,High,Electronics,0
141241,2019-01-05 12:04:00,San Francisco,1,12,Saturday,Weekend,1,1,11.95,Low,Accessories,0
141242,2019-01-01 10:30:00,Los Angeles,1,10,Tuesday,Weekday,1,1,99.99,Medium,Audio,0
141243,2019-01-22 21:20:00,San Francisco,1,21,Tuesday,Weekday,1,1,150.0,High,Audio,0
141244,2019-01-07 11:29:00,San Francisco,1,11,Monday,Weekday,1,1,150.0,High,Audio,0
141245,2019-01-31 10:12:00,San Francisco,1,10,Thursday,Weekday,1,1,1700.0,High,Electronics,0
141246,2019-01-09 18:57:00,Los Angeles,1,18,Wednesday,Weekday,3,1,8.97,Low,Accessories,0
141247,2019-01-25 19:19:00,San Francisco,1,19,Friday,Weekday,1,1,149.99,Medium,Electronics,0
141248,2019-01-03 21:54:00,Austin,1,21,Thursday,Weekday,1,1,300.0,High,Electronics,0
141249,2019-01-05 17:20:00,Portland,1,17,Saturday,Weekend,1,1,149.99,Medium,Electronics,0
141250,2019-01-10 11:20:00,Los Angeles,1,11,Thursday,Weekday,1,1,400.0,High,Electronics,0
141251,2019-01-24 08:13:00,Boston,1,8,Thursday,Weekday,1,1,150.0,High,Audio,0
141252,2019-01-30 09:28:00,Los Angeles,1,9,Wednesday,Weekday,1,1,11.95,Low,Accessories,0
141253,2019-01-17 00:09:00,Atlanta,1,0,Thursday,Weekday,1,1,3.84,Low,Accessories,0
141254,2019-01-08 11:51:00,Seattle,1,11,Tuesday,Weekday,1,1,2.99,Low,Accessories,0
141255,2019-01-09 20:55:00,Los Angeles,1,20,Wednesday,Weekday,1,1,11.95,Low,Accessories,0
